contrast,lang,layer,auroc,n_pos,n_neg
awareness,te,21,0.6499999999999999,15,56
awareness,te,22,0.6439393939393938,15,56
awareness,te,23,0.6318181818181817,15,56
awareness,te,24,0.6186868686868686,15,56
awareness,te,25,0.6050505050505051,15,56
awareness,te,26,0.611111111111111,15,56
awareness,te,27,0.6292929292929292,15,56
awareness,te,28,0.6358585858585858,15,56
awareness,te,29,0.6595959595959595,15,56
awareness,te,30,0.6479797979797979,15,56
awareness,te,31,0.6414141414141413,15,56
awareness,te,32,0.6297979797979798,15,56
awareness,te,33,0.6474747474747475,15,56
awareness,te,34,0.6828282828282828,15,56
awareness,te,35,0.6949494949494949,15,56
awareness,te,36,0.6828282828282828,15,56
awareness,te,37,0.6797979797979797,15,56
awareness,te,38,0.656060606060606,15,56
awareness,te,39,0.692929292929293,15,56
awareness,or,0,0.6392592592592592,13,48
awareness,or,1,0.46222222222222226,13,48
awareness,or,2,0.52,13,48
awareness,or,3,0.6196296296296296,13,48
awareness,or,4,0.6785185185185185,13,48
awareness,or,5,0.7874074074074074,13,48
awareness,or,6,0.8203703703703702,13,48
awareness,or,7,0.7837037037037036,13,48
awareness,or,8,0.767037037037037,13,48
